ФИО;Группа;Период;Должность;Площадка;КЦ_Другое_отсутсвие;Запланированное время;Ready;Больничный;Adherence
Пономарёв Владислав Степанович;Группа 16;9/1/22;Младший специалист;Ростов;0;65;61;0;0,59
Павлов Евсей Исаакович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;125;112,5;0;0,70
Калинин Евграф Константинович;Группа 5;9/1/22;Младший специалист;Вологда;0;67;60,3;0;0,81
Федотов Германн Феликсович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;128;115,2;0;0,88
Сергеев Мамонт Павлович;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;119;31;0;0,72
Зиновьев Иулиан Тарасович;Группа 20;9/1/22;Специалист;Пенза;0;31;27,9;0;0,77
Гущин Сильвестр Эдуардович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;36;109;73;0;0,65
Богданов Вавила Богданович;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;52;46,8;0;0,99
Гордеев Ермолай Сергеевич;Группа 3;9/1/22;Младший специалист;Вологда;0;168;152;0;0,64
Аксёнов Созон Тарасович;Группа 29;9/1/22;Специалист;Кемерово;0;69;33;36;0,78
Коновалов Иннокентий Феликсович;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;144;78;58;0,59
Рябов Глеб Константинович;Группа 34;9/1/22;Младший специалист;Чита;0;155;82;49;0,85
Кошелев Иуда Тимофеевич;Группа 9;9/1/22;Младший специалист;Брянск;0;44;39,6;0;0,51
Бобров Станислав Ефимович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;149;117;32;1,00
Артемьев Филипп Тарасович;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;88;79,2;0;0,80
Ковалёв Христофор Евгеньевич;Группа 1;9/1/22;Специалист;Вологда;0;71;63,9;0;0,81
Кулаков Мина Викторович;Группа 1;9/1/22;Специалист;Вологда;0;173;67;0;0,57
Субботин Иулиан Феликсович;Группа 7;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;115;103,5;0;0,89
Наумов Артём Ефимович;Группа 16;9/1/22;Специалист;Ростов;0;183;10;63;0,99
Лукин Марк Филиппович;Группа 33;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;44;39,6;0;0,84
Шашков Климент Валентинович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;63;43;0;0,70
Капустин Мамонт Эдуардович;Группа 18;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;47;121;74;0;0,64
Фёдоров Виктор Яковлевич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;73;65,7;0;0,76
Колесников Венедикт Эдуардович;Группа 33;9/1/22;Младший специалист;Чита;0;77;69,3;0;0,86
Степанов Семён Ильич;Группа 25;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;35;31,5;0;0,71
Фомичёв Лев Дмитриевич;Группа 26;9/1/22;Специалист;Кемерово;0;146;38;0;0,73
Веселов Ким Олегович;Группа 32;9/1/22;Специалист;Чита;0;108;56;52;0,64
Давыдов Трофим Ефимович;Группа 14;9/1/22;Младший специалист;Ростов;0;48;43,2;0;0,87
Богданов Влас Михайлович;Группа 26;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;52;46,8;0;0,59
Блинов Савелий Аркадьевич;Группа 3;9/1/22;Специалист;Вологда;0;79;71,1;0;0,91
Соколов Ждан Яковлевич;Группа 29;9/1/22;Специалист;Кемерово;0;103;80;0;0,76
Потапов Филимон Феликсович;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;80;65;0;0,66
Яковлев Авдей Исаакович;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;51;108;57;0;0,97
Бобылёв Вячеслав Васильевич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;76;68,4;0;0,89
Васильев Германн Павлович;Группа 25;9/1/22;Специалист;Кемерово;48;168;120;0;0,72
Максимов Спиридон Кириллович;Группа 3;9/1/22;Младший специалист;Вологда;0;109;86;23;0,97
Кулаков Геннадий Игнатьевич;Группа 11;9/1/22;Специалист;Брянск;0;34;30,6;0;0,72
Ситников Руслан Богданович;Группа 3;9/1/22;Специалист;Вологда;0;105;94,5;0;0,86
Носов Аникита Денисович;Группа 31;9/1/22;Младший специалист;Чита;0;176;37;48;0,80
Алексеев Логгин Геннадиевич;Группа 7;9/1/22;Младший специалист;Брянск;0;115;105;0;0,93
Шаров Кирилл Вячеславович;Группа 20;9/1/22;Младший специалист;Пенза;0;37;33,3;0;0,95
Молчанов Руслан Григорьевич;Группа 10;9/1/22;Младший специалист;Брянск;0;101;90,9;0;0,53
Федотов Виталий Яковлевич;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;145;125;0;0,73
Филатов Галактион Иосифович;Группа 15;9/1/22;Специалист;Ростов;32;185;93;60;0,92
Иванов Лев Валерьевич;Группа 32;9/1/22;Специалист;Чита;0;39;35,1;0;0,88
Титов Фрол Дмитриевич;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;168;159;0;0,56
Горшков Федот Тарасович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;56;80;24;0;0,50
Лукин Родион Станиславович;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;37;97;60;0;0,64
Ситников Пахомий Яковлевич;Группа 22;9/1/22;Специалист;Пенза;0;42;37,8;0;0,74
Лебедев Савва Петрович;Группа 11;9/1/22;Специалист;Брянск;0;86;77,4;0;0,71
Аксёнов Арсений Егорович;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;121;43;0;0,64
Белов Глеб Иваныч;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;158;26;0;0,62
Поляков Пров Антонович;Группа 20;9/1/22;Младший специалист;Пенза;0;41;36,9;0;0,55
Вишняков Агапит Семенович;Группа 19;9/1/22;Младший специалист;Пенза;0;109;98,1;0;0,69
Фомичёв Еремей Игнатьевич;Группа 30;9/1/22;Младший специалист;Чита;0;42;37,8;0;0,66
Белозёров Авдей Николаевич;Группа 15;9/1/22;Младший специалист;Ростов;34;135;54;47;0,90
Белозёров Родион Робертович;Группа 11;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;58;139;81;0;0,77
Фролов Никита Олегович;Группа 23;9/1/22;Специалист;Пенза;0;142;67;58;0,77
Зуев Максим Феликсович;Группа 16;9/1/22;Специалист;Ростов;0;126;26;0;0,88
Голубев Иулиан Леонидович;Группа 7;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;168;72;0;0,60
Капустин Дорофей Дмитриевич;Группа 33;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;176;50;0;0,91
Наумов Валерий Игоревич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;106;31;0;0,58
Рожков Христофор Филиппович;Группа 1;9/1/22;Младший специалист;Вологда;0;85;76,5;0;0,69
Орехов Потап Анатольевич;Группа 6;9/1/22;Специалист;Брянск;0;32;28,8;0;0,59
Воробьёв Урбан Станиславович;Группа 12;9/1/22;Специалист;Ростов;0;134;24;0;0,91
Орехов Донат Егорович;Группа 3;9/1/22;Младший специалист;Вологда;0;170;78;0;0,97
Лукин Потап Ильич;Группа 16;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;72;64,8;0;0,66
Беспалов Лаврентий Игнатьевич;Группа 7;9/1/22;Младший специалист;Брянск;0;60;54;0;0,82
Тетерин Арсений Георгиевич;Группа 21;9/1/22;Младший специалист;Пенза;0;103;44;59;0,89
Селиверстов Хрисанф Платонович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;169;121;48;0,75
Виноградов Константин Исаакович;Группа 32;9/1/22;Младший специалист;Чита;0;34;30,6;0;0,91
Баранов Тимур Игнатьевич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;35;187;152;0;0,75
Суханов Антонин Витальевич;Группа 6;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;49;44,1;0;0,79
Самойлов Добрыня Станиславович;Группа 12;9/1/22;Специалист;Ростов;0;86;77,4;0;0,68
Романов Агафон Тарасович;Группа 31;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;187;142;45;0,70
Крылов Исидор Романович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;150;59;0;0,53
Фролов Онуфрий Ильич;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;80;72;0;1,00
Михеев Кузьма Вячеславович;Группа 16;9/1/22;Специалист;Ростов;0;127;114,3;0;0,88
Мельников Прокопий Владимирович;Группа 19;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;60;54;0;0,77
Большаков Фома Тимофеевич;Группа 1;9/1/22;Специалист;Вологда;0;117;105,3;0;0,77
Русаков Никита Ефимович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;94;84,6;0;0,88
Фомичёв Поликарп Станиславович;Группа 8;9/1/22;Специалист;Брянск;0;157;107;46;0,90
Титов Самуил Геннадиевич;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;131;117,9;13,1;0,52
Сорокин Архипп Евгеньевич;Группа 21;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;48;43,2;0;0,61
Субботин Афанасий Феликсович;Группа 14;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;132;54;0;0,67
Попов Тимур Иваныч;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;36;32,4;0;0,78
Фадеев Христофор Станиславович;Группа 22;9/1/22;Младший специалист;Пенза;0;84;74;0;0,85
Лазарев Изот Ильич;Группа 7;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;31;27,9;0;0,52
Лихачёв Руслан Платонович;Группа 30;9/1/22;Младший специалист;Чита;0;33;22;0;0,57
Дорофеев Капитон Георгиевич;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;62;181;119;0;0,60
Ермаков Данакт Иваныч;Группа 19;9/1/22;Младший специалист;Пенза;0;172;53;0;0,75
Никитин Савва Борисович;Группа 16;9/1/22;Младший специалист;Ростов;0;96;86,4;0;0,59
Одинцов Валерий Григорьевич;Группа 26;9/1/22;Младший специалист;Кемерово;67;124;57;0;0,94
Молчанов Федот Борисович;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;106;81;25;0,65
Селезнёв Викентий Данилович;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;68;25;43;0,56
Мясников Герман Владиславович;Группа 30;9/1/22;Специалист;Чита;0;52;46,8;0;0,82
Жуков Дорофей Евгеньевич;Группа 30;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;35;157;122;0;0,95
Аксёнов Альберт Викторович;Группа 12;9/1/22;Младший специалист;Ростов;0;111;99,9;11,1;0,81
Марков Святополк Робертович;Группа 5;9/1/22;Младший специалист;Вологда;0;122;96;0;0,99
Брагин Галактион Андреевич;Группа 33;9/1/22;Младший специалист;Чита;0;129;16;0;0,90
Цветков Галактион Данилович;Группа 34;9/1/22;Младший специалист;Чита;0;57;51,3;0;0,69
Баранов Григорий Игоревич;Группа 11;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;143;128,7;14,3;0,69
Крюков Федот Ярославович;Группа 1;9/1/22;Специалист;Вологда;0;65;58,5;0;0,96
Лазарев Артём Кириллович;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;171;77;0;0,89
Архипов Трифон Северинович;Группа 33;9/1/22;Младший специалист;Чита;0;58;52,2;0;0,92
Орлов Никанор Матвеевич;Группа 20;9/1/22;Специалист;Пенза;0;41;37;0;0,73
Макаров Савелий Кириллович;Группа 26;9/1/22;Специалист;Кемерово;0;175;162;13;0,98
Суханов Прокопий Валерьевич;Группа 6;9/1/22;Специалист;Брянск;0;136;101;35;0,97
Козлов Николай Антонович;Группа 32;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;62;55,8;0;0,62
Кузьмин Леонид Денисович;Группа 9;9/1/22;Специалист;Брянск;0;96;68;0;0,97
Филатов Алексей Тарасович;Группа 7;9/1/22;Специалист;Брянск;0;105;94,5;10,5;0,87
Егоров Гордей Станиславович;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;55;49,5;0;0,58
Колесников Евстафий Станиславович;Группа 19;9/1/22;Специалист;Пенза;0;45;40,5;0;0,83
Зайцев Мстислав Станиславович;Группа 6;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;163;15;0;1,00
Бобылёв Платон Матвеевич;Группа 18;9/1/22;Младший специалист;Пенза;0;89;80,1;0;0,84
Веселов Геннадий Ярославович;Группа 29;9/1/22;Младший специалист;Кемерово;39;136;97;0;1,00
Воробьёв Христофор Тарасович;Группа 21;9/1/22;Специалист;Пенза;0;128;26;0;0,78
Наумов Ириней Вольфович;Группа 29;9/1/22;Специалист;Кемерово;0;158;38;48;0,87
Баранов Альберт Леонидович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;38;158;120;0;0,74
Быков Изот Данилович;Группа 32;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;63;24;39;0,59
Васильев Валерий Исаакович;Группа 2;9/1/22;Специалист;Вологда;0;179;67;0;0,66
Григорьев Зиновий Аркадьевич;Группа 14;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;168;69;0;0,74
Савин Галактион Леонидович;Группа 1;9/1/22;Младший специалист;Вологда;0;70;63;0;0,58
Павлов Никита Северинович;Группа 15;9/1/22;Младший специалист;Ростов;0;160;70;64;0,77
Моисеев Протасий Антонович;Группа 2;9/1/22;Специалист;Вологда;0;187;43;0;0,84
Маслов Владлен Иосифович;Группа 31;9/1/22;Младший специалист;Чита;0;181;77;0;0,89
Третьяков Анфим Львович;Группа 5;9/1/22;Младший специалист;Вологда;66;183;117;0;0,56
Беляков Валерьян Александрович;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;117;93;0;0,78
Селезнёв Мина Сергеевич;Группа 22;9/1/22;Младший специалист;Пенза;0;175;159;16;0,99
Пахомов Николай Бедросович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;159;130;0;0,69
Зимин Герасим Данилович;Группа 33;9/1/22;Младший специалист;Чита;0;63;56,7;0;0,56
Авдеев Святослав Алексеевич;Группа 21;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;142;20;0;0,69
Куликов Демид Григорьевич;Группа 11;9/1/22;Младший специалист;Брянск;0;187;39;69;0,72
Панфилов Тит Исаакович;Группа 14;9/1/22;Младший специалист;Ростов;0;149;134,1;0;0,76
Романов Иакинф Сергеевич;Группа 8;9/1/22;Специалист;Брянск;0;123;110,7;0;0,87
Ильин Добрыня Эдуардович;Группа 13;9/1/22;Специалист;Ростов;54;144;90;0;0,70
Галкин Фока Борисович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;79;71,1;0;0,71
Назаров Спиридон Алексеевич;Группа 22;9/1/22;Младший специалист;Пенза;43;108;19;46;0,88
Фёдоров Геласий Сергеевич;Группа 12;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;68;164;96;0;0,55
Александров Филат Петрович;Группа 4;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;156;96;41;0,85
Данилов Даниил Викторович;Группа 22;9/1/22;Специалист;Пенза;0;157;147;0;0,88
Михайлов Митрофан Федорович;Группа 11;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;76;68,4;0;0,50
Сидоров Мелентий Тарасович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;121;33;0;0,85
Артемьев Порфирий Кириллович;Группа 15;9/1/22;Младший специалист;Ростов;0;97;23;0;0,81
Веселов Артемий Игнатьевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;53;63;10;0;0,62
Родионов Харитон Данилович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;38;148;54;56;0,68
Фомин Феликс Иосифович;Группа 4;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;88;79,2;0;0,90
Павлов Фрол Станиславович;Группа 3;9/1/22;Специалист;Вологда;0;80;72;0;0,99
Белозёров Евстафий Вячеславович;Группа 8;9/1/22;Младший специалист;Брянск;0;149;24;42;0,86
Гаврилов Протасий Семенович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;96;41;46;0,52
Филатов Артур Анатольевич;Группа 31;9/1/22;Специалист;Чита;61;116;55;0;0,87
Федотов Онисим Антонович;Группа 9;9/1/22;Младший специалист;Брянск;0;160;14;0;0,72
Гришин Фрол Артемович;Группа 18;9/1/22;Младший специалист;Пенза;0;117;58;54;0,80
Алексеев Сильвестр Федорович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;50;92;42;0;0,86
Суханов Акиндин Васильевич;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;34;20;14;0,96
Лапин Аникита Вячеславович;Группа 5;9/1/22;Специалист;Вологда;0;116;103;13;0,73
Маслов Савва Владиславович;Группа 9;9/1/22;Младший специалист;Брянск;0;81;72,9;0;0,84
Никонов Артемий Владимирович;Группа 30;9/1/22;Младший специалист;Чита;0;51;43;0;0,70
Большаков Галактион Егорович;Группа 17;9/1/22;Младший специалист;Пенза;0;132;118,8;13,2;0,55
Рогов Василий Филиппович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;50;136;86;0;0,68
Попов Денис Егорович;Группа 33;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;60;34;26;0,55
Исаков Георгий Игнатьевич;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;178;156;0;0,51
Григорьев Данакт Исаакович;Группа 25;9/1/22;Младший специалист;Кемерово;0;43;38,7;0;0,58
Тимофеев Харитон Александрович;Группа 27;9/1/22;Младший специалист;Кемерово;44;55;11;0;0,72
Никитин Агапит Валентинович;Группа 15;9/1/22;Специалист;Ростов;0;75;42;33;0,99
Белоусов Леонтий Исаакович;Группа 33;9/1/22;Младший специалист;Чита;0;71;63,9;0;0,82
Бобров Хрисанф Семенович;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;187;14;0;0,99
Мартынов Владимир Константинович;Группа 19;9/1/22;Специалист;Пенза;0;58;52,2;0;0,52
Марков Вавила Валентинович;Группа 22;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;62;55,8;0;0,70
Сысоев Василий Ильич;Группа 14;9/1/22;Младший специалист;Ростов;0;174;19;0;0,86
Гурьев Фаддей Анатольевич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;153;137,7;15,3;0,55
Фадеев Максим Александрович;Группа 18;9/1/22;Специалист;Пенза;0;38;34,2;0;0,88
Гаврилов Илья Вячеславович;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;74;66,6;0;0,52
Семёнов Никон Олегович;Группа 34;9/1/22;Специалист;Чита;0;79;71,1;0;0,64
Баранов Харитон Богданович;Группа 14;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;112;84;28;0,98
Яковлев Никита Кириллович;Группа 21;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;79;71,1;0;0,82
Карпов Прохор Кириллович;Группа 20;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;167;32;58;0,93
Беляев Агафон Робертович;Группа 5;9/1/22;Специалист;Вологда;0;169;163;0;0,85
Зимин Прохор Витальевич;Группа 13;9/1/22;Специалист;Ростов;0;72;64,8;0;0,68
Мухин Альвиан Геннадиевич;Группа 13;9/1/22;Младший специалист;Ростов;0;145;115;0;0,99
Гордеев Сила Евгеньевич;Группа 32;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;34;30,6;0;0,62
Щукин Евсей Анатольевич;Группа 4;9/1/22;Младший специалист;Вологда;0;70;63;0;0,74
Капустин Фрол Павлович;Группа 31;9/1/22;Младший специалист;Чита;0;75;67,5;0;0,68
Мельников Тарас Евгеньевич;Группа 39;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;47;42,3;0;0,51
Савельев Аркадий Феликсович;Группа 11;9/1/22;Специалист;Брянск;0;98;20;52;0,75
Дроздов Вячеслав Юрьевич;Группа 1;9/1/22;Специалист;Вологда;0;62;55,8;0;0,84
Громов Матвей Николаевич;Группа 31;9/1/22;Специалист;Чита;0;132;59;60;0,92
Куликов Артур Тарасович;Группа 32;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;54;48,6;0;0,75
Ефимов Магистриан Дмитриевич;Группа 28;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;169;47;0;0,71
Федосеев Онисим Валерьевич;Группа 7;9/1/22;Специалист;Брянск;0;50;45;0;0,89
Соболев Архипп Георгиевич;Группа 7;9/1/22;Младший специалист;Брянск;0;74;67;0;0,90
Пахомов Никанор Станиславович;Группа 10;9/1/22;Специалист;Брянск;0;70;63;0;0,74
Суханов Евсей Иванович;Группа 3;9/1/22;Специалист;Вологда;0;114;107;0;0,95
Носков Фирс Дмитриевич;Группа 8;9/1/22;Специалист;Брянск;0;69;62,1;0;0,78
Сазонов Валерьян Вольфович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;186;88;0;0,57
Ковалёв Никифор Геннадиевич;Группа 5;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;64;57,6;0;0,88
Быков Феоктист Андреевич;Группа 36;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;44;160;116;0;0,78
Щербаков Никита Кириллович;Группа 22;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;52;46,8;0;0,72
Беляев Викентий Северинович;Группа 27;9/1/22;Младший специалист;Кемерово;0;181;36;43;0,81
Поляков Борис Егорович;Группа 6;9/1/22;Младший специалист;Брянск;0;49;44,1;0;0,86
Шестаков Степан Антонович;Группа 24;9/1/22;Младший специалист;Кемерово;0;141;58;67;0,59
Кузнецов Владлен Витальевич;Группа 28;9/1/22;Специалист;Кемерово;35;143;108;0;0,87
Александров Сергей Павлович;Группа 3;9/1/22;Специалист;Вологда;0;147;63;0;0,80
Силин Прохор Антонович;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;53;47,7;0;0,52
Никифоров Фока Петрович;Группа 34;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;123;64;59;0,72
Ильин Максим Антонович;Группа 24;9/1/22;Младший специалист;Кемерово;0;121;71;50;0,98
Щукин Иакинф Олегович;Группа 30;9/1/22;Специалист;Чита;0;44;39,6;0;0,75
Захаров Николай Филиппович;Группа 25;9/1/22;Специалист по обслуживанию ключевых клиентов;Кемерово;0;168;39;0;0,51
Пестов Фёдор Николаевич;Группа 3;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;41;66;25;0;0,71
Кудрявцев Влас Геннадиевич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;118;109;0;0,92
Красильников Никифор Павлович;Группа 33;9/1/22;Младший специалист;Чита;0;90;62;0;0,83
Григорьев Варфоломей Егорович;Группа 13;9/1/22;Специалист;Ростов;0;156;140,4;15,6;0,61
Хохлов Созон Владимирович;Группа 9;9/1/22;Специалист по обслуживанию ключевых клиентов;Брянск;0;88;79,2;0;1,00
Дроздов Игорь Иваныч;Группа 37;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;105;66;39;0,80
Исаков Валентин Феликсович;Группа 30;9/1/22;Специалист по обслуживанию ключевых клиентов;Чита;0;80;72;0;0,50
Ларионов Виталий Тимофеевич;Группа 6;9/1/22;Специалист;Брянск;0;86;77,4;0;0,66
Уваров Семён Северинович;Группа 8;9/1/22;Специалист;Брянск;0;177;98;64;0,63
Якушев Геннадий Евгеньевич;Группа 30;9/1/22;Младший специалист;Чита;33;134;101;0;0,92
Нестеров Трифон Ярославович;Группа 9;9/1/22;Младший специалист;Брянск;0;114;102,6;0;0,89
Блохин Климент Валерьевич;Группа 3;9/1/22;Специалист;Вологда;0;50;45;0;0,57
Сазонов Святополк Бедросович;Группа 28;9/1/22;Специалист;Кемерово;0;38;35;0;0,53
Тимофеев Борис Антонович;Группа 5;9/1/22;Специалист;Вологда;0;125;112,5;0;0,84
Мухин Исидор Алексеевич;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;79;71,1;0;0,55
Брагин Ефрем Львович;Группа 22;9/1/22;Младший специалист;Пенза;0;185;121;51;0,76
Мишин Мамонт Игоревич;Группа 29;9/1/22;Специалист;Кемерово;0;84;75,6;0;0,90
Васильев Феоктист Олегович;Группа 32;9/1/22;Младший специалист;Чита;0;127;24;0;0,89
Веселов Сергей Владимирович;Группа 12;9/1/22;Младший специалист;Ростов;0;158;25;0;0,62
Дьячков Тимур Андреевич;Группа 14;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;48;168;120;0;0,85
Веселов Капитон Максимович;Группа 27;9/1/22;Младший специалист;Кемерово;0;182;48;60;0,79
Моисеев Артур Викторович;Группа 6;9/1/22;Специалист;Брянск;0;44;39,6;0;0,75
Мясников Ириней Анатольевич;Группа 14;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;102;91,8;0;0,94
Родионов Олег Васильевич;Группа 23;9/1/22;Специалист по обслуживанию ключевых клиентов;Пенза;0;61;54,9;0;0,92
Фомин Илья Андреевич;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;178;80;0;0,67
Титов Никандр Евгеньевич;Группа 27;9/1/22;Специалист;Кемерово;0;153;137,7;15,3;0,51
Михеев Исидор Бедросович;Группа 9;9/1/22;Специалист;Брянск;0;155;73;0;0,64
Жуков Куприян Антонович;Группа 6;9/1/22;Младший специалист;Брянск;0;184;101;0;0,69
Миронов Святополк Станиславович;Группа 27;9/1/22;Младший специалист;Кемерово;0;31;27,9;0;0,97
Михайлов Потап Павлович;Группа 4;9/1/22;Младший специалист;Вологда;0;41;36,9;0;0,52
Федотов Иулиан Игоревич;Группа 15;9/1/22;Специалист по обслуживанию ключевых клиентов;Ростов;0;107;14;0;0,63
Красильников Виссарион Тарасович;Группа 31;9/1/22;Специалист;Чита;0;85;84;0;0,67
Фёдоров Сильвестр Платонович;Группа 9;9/1/22;Специалист;Брянск;0;186;147;39;0,61
Ковалёв Митрофан Яковлевич;Группа 3;9/1/22;Младший специалист;Вологда;0;135;72;45;0,93
Хохлов Виктор Петрович;Группа 38;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;68;94;26;0;0,75
Потапов Иакинф Романович;Группа 23;9/1/22;Младший специалист;Пенза;0;36;35;0;0,68
Дроздов Изот Анатольевич;Группа 7;9/1/22;Младший специалист;Брянск;0;47;24;0;0,75
Носков Герасим Леонидович;Группа 2;9/1/22;Специалист по обслуживанию ключевых клиентов;Вологда;0;100;88;0;0,96
Филиппов Дмитрий Евгеньевич;Группа 34;9/1/22;Младший специалист;Чита;46;111;65;0;0,97
Антонов Варфоломей Георгиевич;Группа 28;9/1/22;Специалист;Кемерово;0;56;50,4;0;0,95
Никитин Сильвестр Егорович;Группа 35;9/1/22;Специалист по удаленному голосовому обслуживанию;УГ;0;44;39,6;0;0,89
